PRES,HGHT,TEMP,DWPT,RELH,MIXR,THTA,THTE
hPa,m,C,C,%,g/kg,K,K
16.4,27944,-47.5,-71.5,5,0.15,606,606.7
15.4,28346,-45.5,-69.5,5,0.21,607.6,608.4
14.9,28582,-44.3,-68.3,5,0.26,619.6,620.8
13,29495,-44.9,-69.9,4,0.24,622.9,624.1
12.3,29870,-43.6,-68,5,0.33,627.2,628.4
11.8,30145,-42.7,-66.7,5,0.41,633,634.1
,,,,,,642.2,643.1
,,,,,,677,679.2
,,,,,,680.4,682.8
,,,,,,687,689.4
,,,,,,691.2,693.7
,,,,,,694.2,696.5
,,,,,,696.9,699.3
,,,,,,706.4,709.7
,,,,,,716.1,719
,,,,,,723.3,725.9
,,,,,,730.5,732.8
,,,,,,741,743
,,,,,,748.7,751.2
,,,,,,780.5,785.7
,,,,,,789.1,794.5
,,,,,,810.8,817.1
,,,,,,810.1,816.3
,,,,,,831.6,842.5
,,,,,,852.8,871.4
,,,,,,855.7,875.7
,,,,,,863.2,882.9
,,,,,,867,886.5
,,,,,,871,891.7
,,,,,,877.8,901.2
,,,,,,894.4,925.7
,,,,,,896.8,928.7
,,,,,,923.1,963.4
,,,,,,950.3,1000.9
,,,,,,978.2,1042
,,,,,,991.7,1061.7
,,,,,,990,1060.2
,,,,,,993.2,1063.1
