PRES,HGHT,TEMP,DWPT,RELH,MIXR,THTA,THTE
68.1,18898,-65.5,-76.5,20,0.02,512.2,512.4
64.8,19202,-65.9,-76.9,20,0.02,520.2,520.4
62.8,19390,-66.1,-77.1,20,0.02,527.6,527.8
58.9,19783,-62.1,-74.1,19,0.03,538.3,538.5
58.6,19812,-62.2,-74.2,19,0.03,548.3,548.6
57.2,19964,-62.7,-74.7,18,0.03,556.2,556.4
55.8,20117,-60.9,-72.9,19,0.04,573.2,573.5
50,20800,-61.1,-74.1,16,0.03,574.5,574.8
48.3,21015,-61.1,-74.1,16,0.03,582,582.3
45.9,21336,-59.8,-73.5,15,0.04,589.5,589.9
44.6,21512,-59.1,-73.1,15,0.04,595.5,595.8
43.7,21641,-59.1,-73.1,15,0.04,603.7,604
41.6,21946,-59.1,-73.1,15,0.05,605.4,605.7
40.4,22131,-59.1,-73.1,15,0.05,616.6,617
39.6,22250,-58.3,-73.1,13,0.05,628.1,628.6
38.6,22418,-57.1,-73.1,11,0.05,652.1,653
37.8,22555,-57.3,-73.3,11,0.05,651.6,652.5
34.3,23165,-58.2,-74.2,11,0.05,666.8,667.5
33,23406,-58.5,-74.5,11,0.05,675.9,676.5
31.4,23719,-57.1,-74.1,10,0.05,679,679.7
31.1,23774,-56.3,-73.9,9,0.06,693.1,694.3
30,24010,-52.9,-72.9,7,0.07,711.7,713
29.7,24079,-51.3,-71.3,7,0.08,730.3,731.8
29.6,24097,-50.9,-70.9,8,0.09,749.6,751.8
28.3,24384,-49.3,-68.5,9,0.13,761.2,764
28,24461,-48.9,-67.9,9,0.15,789.4,792
27,24689,-49.6,-68.8,9,0.13,806.5,810.2
25.8,24994,-50.5,-70,8,0.12,819.4,824
24,25469,-51.9,-71.9,7,0.1,,
21.4,26213,-47.3,-66.4,9,0.24,,
21.2,26283,-46.9,-65.9,10,0.26,,
20.5,26518,-47,-66,10,0.26,,
20,26670,-47.1,-66.1,10,0.26,,
19.7,26770,-47.1,-67.1,8,0.23,,
19.6,26822,-46.8,-66.5,9,0.25,,
19,27010,-45.5,-64.5,10,0.34,,
17.8,27432,-46.5,-66.1,9,0.3,,
17,27737,-47.3,-67.3,8,0.26,,
16.2,28042,-48,-68.4,8,0.23,,
15.2,28485,-49.1,-70.1,7,0.2,,
14.8,28651,-48.4,-69,7,0.24,,
13.4,29318,-45.5,-64.5,10,0.49,,
12.9,29566,-45.4,-64.4,10,0.51,,
11.8,30175,-45.2,-64.2,10,0.58,,
11.8,30165,-45.3,-64.3,10,0.57,,
11.3,30480,-42.4,-60.4,12,0.99,,
10.8,30785,-39.5,-56.6,14,1.68,,
10.7,30827,-39.1,-56.1,15,1.8,,
10.3,31090,-39.6,-56.6,15,1.75,,
10.1,31222,-39.9,-56.9,15,1.73,,
10,31290,-39.5,-56.5,15,1.83,,
9.8,31394,-38.7,-55.7,15,2.06,,
9.5,31644,-36.7,-53.7,16,2.71,,
9.4,31699,-36.6,-53.6,16,2.76,,
8.6,32309,-35.6,-52.6,16,3.39,,
7.9,32918,-34.7,-51.7,16,4.14,,
7.3,33528,-33.7,-50.7,16,5.07,,
7,33833,-33.4,-50.4,16,5.48,,
7,33780,-33.3,-50.3,17,5.51,,
6.9,33881,-33.5,-50.5,16,5.46,,
