PRES,HGHT,TEMP,DWPT,RELH,MIXR,THTA,THTE
hPa,m,C,C,%,g/kg,K,K
1000,21,,,,,,
964,345,23.6,21.5,88,17.06,300.1,352.8
953,445,23.8,20.2,80,15.9,300.4,352.4
935.1,610,23.3,17.5,70,13.66,300.8,350.9
925,704,23,16,65,12.51,301,350
924,713,23,16,65,12.53,301.2,351
914,808,22.6,15.6,65,12.34,301.9,351.3
907,875,22,18,78,14.53,302.9,351.8
903,914,21.9,17.3,75,13.97,304,353.8
893,1011,21.6,15.6,69,12.64,305.1,351.4
887,1069,21.8,11.8,53,9.89,309,345.1
871.9,1219,21.7,9.5,46,8.64,309.1,345.3
859,1348,21.6,7.6,40,7.68,309.5,345.1
850,1439,20.8,7.8,43,7.87,311.4,344.4
815,1801,18.8,7.8,49,8.21,311.5,344
812.4,1829,18.6,7.7,49,8.18,312.8,335.9
783.6,2134,15.9,6.7,54,7.89,314.1,333.6
756,2438,13.2,5.6,60,7.61,314.9,332.3
730,2734,10.6,4.6,66,7.34,315.2,331.8
729.2,2743,10.5,4.6,67,7.33,315.6,331.2
700,3082,7.2,3.9,80,7.28,315.9,330.7
689,3212,6,3.7,85,7.3,316,330.5
666,3490,4.6,3.5,93,7.44,316.1,329
652.4,3658,3.8,-0.7,72,5.59,316,327.3
639,3827,3,-5,56,4.15,316,327.2
628.4,3962,1.9,-6.8,52,3.67,316.5,326.6
625,4006,1.6,-7.4,51,3.53,317.1,326.1
612,4175,1.6,-15.4,27,1.9,317.4,325.9
605.1,4267,2,-17.1,23,1.67,318.6,323
602,4308,2.2,-17.8,21,1.58,319.8,324.8
585,4539,1.2,-19.8,19,1.37,323.3,328.1
560.6,4877,-1.2,-21.6,20,1.23,324.4,328.6
539.4,5182,-3.4,-23.1,20,1.11,325.6,329.5
514,5565,-6.1,-25.1,21,0.97,326,329.8
500,5780,-8.1,-27.1,20,0.83,326.2,329.5
479.8,6096,-10.9,-29.5,20,0.69,327,328.6
444,6690,-16.1,-34.1,20,0.48,327.2,328.7
400,7470,-21.3,-38.3,20,0.35,328.4,329.2
392,7619,-22.1,-39.1,20,0.33,329.2,329.7
391.9,7620,-22.1,-39.1,20,0.33,330.4,330.8
360,8238,-27.3,-45.3,16,0.19,331.6,331.8
345.4,8534,-28.8,-47.3,15,0.16,332.3,332.4
343,8584,-29,-47.7,15,0.15,332.6,332.7
333,8796,-30.1,-49.1,14,0.13,333.7,333.8
316.9,9144,-32.9,-52.3,12,0.1,334.1,334.2
300,9530,-35.9,-55.9,11,0.07,336.9,337
294,9669,-37.3,-57.3,11,0.06,339,339.1
262,10448,-43.7,-58.7,17,0.05,339.2,339.2
250,10760,-45.5,-59.5,19,0.05,340.7,340.7
245,10895,-46.5,-60.5,19,0.05,344.4,344.5
242.1,10973,-46.5,-59.9,20,0.05,345.1,345.2
240,11032,-46.5,-59.5,21,0.05,349.6,349.6
217,11694,-51.7,-63.7,22,0.03,354.8,354.8
206,12030,-53.5,-64.5,25,0.03,356.7,356.8
200,12220,-55.3,-66.3,24,0.03,361.8,361.8
195,12381,-56.8,-67.8,24,0.02,366.5,366.6
194,12413,-57.1,-68.1,24,0.02,367.4,367.4
191.4,12497,-57,-68,24,0.02,367.7,367.8
188,12612,-56.9,-67.9,24,0.02,372.2,372.2
180,12889,-54.1,-66.1,22,0.03,375.4,375.5
174,13106,-55.6,-66.8,23,0.03,376,376.1
172,13179,-56.1,-67.1,24,0.03,377.8,377.9
168,13329,-56.3,-67.3,24,0.03,380.8,380.8
154,13876,-60.1,-71.1,22,0.02,382.9,382.9
150,14040,-60.5,-71.5,22,0.02,383.3,383.3
143.3,14326,-61,-72,22,0.02,384.3,384.3
140,14469,-61.3,-72.3,22,0.02,384.4,384.5
136.4,14630,-62.5,-73,23,0.01,387.6,387.6
133,14786,-63.7,-73.7,24,0.01,392,392.1
132,14833,-58.9,-69.9,23,0.02,397.9,397.9
131,14880,-58.1,-70.1,20,0.02,402.1,402.2
129.9,14935,-58.2,-70.2,20,0.02,409.4,409.5
127,15076,-58.5,-70.5,20,0.02,428.2,428.2
123.7,15240,-59.9,-71.3,21,0.02,433.2,433.3
122,15327,-60.7,-71.7,22,0.02,436.9,436.9
114,15749,-60.9,-71.9,22,0.02,445.5,445.6
108,16084,-62.7,-73.7,21,0.02,446.5,446.6
106,16200,-61.7,-72.7,22,0.02,449.9,449.9
100,16560,-62.5,-73.5,21,0.02,462.3,462.4
92.8,17017,-65.1,-76.1,21,0.01,475.1,475.2
84.2,17610,-63.7,-74.7,21,0.02,475.5,475.6
77.4,18123,-64.9,-75.9,21,0.02,486.6,486.7
75.3,18288,-66,-76.6,21,0.02,487.9,488.1
71.6,18594,-67.9,-77.9,23,0.01,493.1,493.2
70,18730,-65.7,-76.7,20,0.02,498.1,498.3
69.7,18756,-65.3,-76.3,20,0.02,504.3,504.4
